epoch,critic_loss,actor_loss,q1_loss,q2_loss,cost_loss,cql_q1,cql_q2,expected_immediate_cost,expected_cost_to_go,expected_support_cost,expected_smoothness_cost,expected_uncertainty_cost,exact_soft_inadmissibility_rate,support_cost_for_lambda,smooth_cost_for_lambda,uncertainty_cost_for_lambda,cost_budget,support_budget,smooth_budget,uncertainty_budget,lagrange,lambda_inad,lambda_support,lambda_smooth,lambda_uncertainty,expert_kl,uses_action_mask,use_certified_nudging,barrier_weight,support_weight,rho_cost,rho_reward,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert
1,4.2922515869140625,0.9178735017776489,0.030187075957655907,0.03415680304169655,0.9618532061576843,3.251248598098755,3.280860424041748,2.832356786863488e-18,0.13527804613113403,0.8808460235595703,0.11208988726139069,0.10980239510536194,2.832356786863488e-18,0.8808460235595703,0.11208988726139069,0.10980239510536194,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.004452281165868044,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,4.226925373077393,0.8786861300468445,0.029692942276597023,0.03240654245018959,0.9431867003440857,3.2106058597564697,3.232672691345215,2.6516418112584157e-18,0.14918264746665955,0.8784085512161255,0.11160486936569214,0.11339274793863297,2.6516418112584157e-18,0.8784085512161255,0.11160486936569214,0.11339274793863297,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0050038620829582214,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4.164132118225098,0.8399333953857422,0.03078526072204113,0.03196091949939728,0.9219991564750671,3.17138934135437,3.1873838901519775,2.472392599698787e-18,0.17246969044208527,0.8763229846954346,0.11122699826955795,0.1224643737077713,2.472392599698787e-18,0.8763229846954346,0.11122699826955795,0.1224643737077713,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.006044614128768444,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
4,4.0996503829956055,0.8006259202957153,0.03351706638932228,0.033402279019355774,0.8963937163352966,3.129805564880371,3.142869234085083,2.312799681035256e-18,0.19426663219928741,0.8742697834968567,0.1107165738940239,0.13034731149673462,2.312799681035256e-18,0.8742697834968567,0.1107165738940239,0.13034731149673462,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0075732446275651455,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
5,4.034414291381836,0.7599830031394958,0.03799934312701225,0.03635252267122269,0.8671247363090515,3.0871171951293945,3.0987584590911865,2.1491415832513334e-18,0.22339284420013428,0.8723947405815125,0.11044146865606308,0.14431558549404144,2.1491415832513334e-18,0.8723947405815125,0.11044146865606308,0.14431558549404144,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.009399201720952988,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
6,3.967163562774658,0.7189799547195435,0.044744011014699936,0.041104886680841446,0.8334779143333435,3.0421414375305176,3.053532123565674,1.9986635745526774e-18,0.2566796839237213,0.8698431253433228,0.10968348383903503,0.16013941168785095,1.9986635745526774e-18,0.8698431253433228,0.10968348383903503,0.16013941168785095,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.012237703427672386,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,3.8925490379333496,0.671911895275116,0.05357525870203972,0.0478193573653698,0.7935853600502014,2.992366075515747,3.002772331237793,1.8547701303250966e-18,0.29667267203330994,0.8680498003959656,0.10931085795164108,0.17774993181228638,1.8547701303250966e-18,0.8680498003959656,0.10931085795164108,0.17774993181228638,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.015185927040874958,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,3.816159248352051,0.6197015047073364,0.06521778553724289,0.05641387775540352,0.7496170401573181,2.940469741821289,2.9493510723114014,1.7185186975841636e-18,0.34207677841186523,0.8657270073890686,0.10881736129522324,0.19550038874149323,1.7185186975841636e-18,0.8657270073890686,0.10881736129522324,0.19550038874149323,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019393255934119225,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,3.737276077270508,0.5621354579925537,0.07928712666034698,0.06821076571941376,0.7008445262908936,2.884359836578369,2.893507480621338,1.581372048625295e-18,0.39419806003570557,0.8640462160110474,0.10835157334804535,0.21689027547836304,1.581372048625295e-18,0.8640462160110474,0.10835157334804535,0.21689027547836304,0.0001,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02373967505991459,False,True,25.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,3.6579504013061523,0.4974413216114044,0.09536785632371902,0.08137873560190201,0.649476170539856,2.8269972801208496,2.8364574909210205,1.4530806783165363e-18,0.4534873068332672,0.861818253993988,0.1079651489853859,0.23865868151187897,1.4563717963755205e-18,0.860854983329773,0.1076609194278717,0.23532696068286896,0.0001,0.25,1.0,0.25,0.0,0.0,0.0006108549833297729,0.0,0.0,0.02938876859843731,False,True,25.0,1.0,1.0,1.0,0.7779291272163391,0.7779291272163391,0.2220708727836609,8.711177825927734,0.0,0.8756966590881348,4.062627792358398,-0.0,1.110156774520874,0.7777543663978577,1.440954377788598e-18,0.7777543663978577,0.4849892556667328,0.017652016133069992
